event_id,user_id,title,start_time,end_time,status,description,location,event_type,with_whom
1036,1,Client Meeting - Review progress with client,2024-09-10 12:00:00,2024-09-10 12:36:00,completed,Review progress with client,Office,Client Meeting,Cristian Santos
1055,1,Project Work - Fix reported bugs,2024-09-11 10:00:00,2024-09-11 11:20:00,completed,Fix reported bugs,Cafe,Project Work,
1056,1,Break - Coffee break,2024-09-11 12:00:00,2024-09-11 12:16:00,completed,Coffee break,Google Meet,Break,
1057,1,Admin - Log expenses,2024-09-11 13:00:00,2024-09-11 13:22:00,to be rescheduled,Log expenses,Home,Admin,
1046,1,Admin - Update invoices,2024-09-11 13:00:00,2024-09-11 13:21:00,completed,Update invoices,Zoom,Admin,
1059,1,Email & Communication - Schedule meetings,2024-09-11 14:00:00,2024-09-11 14:16:00,completed,Schedule meetings,Cafe,Email & Communication,
1060,1,Project Work - Test new codebase,2024-09-12 10:00:00,2024-09-12 11:59:00,completed,Test new codebase,Google Meet,Project Work,
1053,1,Client Meeting - Demo completed features,2024-09-12 10:00:00,2024-09-12 10:30:00,completed,Demo completed features,Home,Client Meeting,Gina Moore
1061,1,Client Meeting - Demo completed features,2024-09-12 12:00:00,2024-09-12 12:34:00,to be rescheduled,Demo completed features,Home,Client Meeting,Gabrielle Davis
1063,1,Break - Lunch break,2024-09-12 13:00:00,2024-09-12 13:18:00,upcoming,Lunch break,Cafe,Break,
1064,1,Admin - Log expenses,2024-09-12 14:00:00,2024-09-12 14:31:00,canceled,Log expenses,Office,Admin,
1066,1,Email & Communication - Reply to client emails,2024-09-12 15:00:00,2024-09-12 15:24:00,completed,Reply to client emails,Cafe,Email & Communication,
1067,1,Client Meeting - Discuss contract terms,2024-09-13 09:00:00,2024-09-13 09:58:00,completed,Discuss contract terms,Zoom,Client Meeting,Ryan Munoz
1068,1,Break - Lunch break,2024-09-13 10:00:00,2024-09-13 10:19:00,completed,Lunch break,Office,Break,
1069,1,Admin - Submit weekly report,2024-09-13 11:00:00,2024-09-13 11:40:00,canceled,Submit weekly report,Office,Admin,
1062,1,Client Meeting - Demo completed features,2024-09-13 12:00:00,2024-09-13 12:34:00,completed,Demo completed features,Home,Client Meeting,Gabrielle Davis
1065,1,Admin - Log expenses,2024-09-13 14:00:00,2024-09-13 14:31:00,completed,Log expenses,Office,Admin,
1071,1,Project Work - Test new codebase,2024-09-14 09:00:00,2024-09-14 10:21:00,to be rescheduled,Test new codebase,Google Meet,Project Work,
1070,1,Admin - Submit weekly report,2024-09-14 11:00:00,2024-09-14 11:40:00,completed,Submit weekly report,Office,Admin,
1073,1,Break - Lunch break,2024-09-14 11:00:00,2024-09-14 11:18:00,upcoming,Lunch break,Cafe,Break,
1074,1,Admin - Log expenses,2024-09-14 12:00:00,2024-09-14 12:31:00,completed,Log expenses,Home,Admin,
1058,1,Admin - Log expenses,2024-09-14 13:00:00,2024-09-14 13:22:00,completed,Log expenses,Home,Admin,
1075,1,Email & Communication - Reply to client emails,2024-09-14 13:00:00,2024-09-14 13:24:00,completed,Reply to client emails,Office,Email & Communication,
1076,1,Project Work - Fix reported bugs,2024-09-15 08:00:00,2024-09-15 09:42:00,completed,Fix reported bugs,Cafe,Project Work,
1077,1,Admin - Log expenses,2024-09-15 10:00:00,2024-09-15 10:25:00,canceled,Log expenses,Home,Admin,
1079,1,Project Work - Implement module features,2024-09-16 09:00:00,2024-09-16 10:26:00,to be rescheduled,Implement module features,Office,Project Work,
1078,1,Admin - Log expenses,2024-09-16 10:00:00,2024-09-16 10:25:00,completed,Log expenses,Home,Admin,
1081,1,Client Meeting - Align on next steps,2024-09-16 11:00:00,2024-09-16 11:57:00,completed,Align on next steps,Google Meet,Client Meeting,Monica Herrera
1082,1,Break - Lunch break,2024-09-16 12:00:00,2024-09-16 12:29:00,completed,Lunch break,Google Meet,Break,
1083,1,Admin - Respond to internal emails,2024-09-16 13:00:00,2024-09-16 13:26:00,completed,Respond to internal emails,Zoom,Admin,
1072,1,Project Work - Test new codebase,2024-09-17 09:00:00,2024-09-17 10:21:00,completed,Test new codebase,Google Meet,Project Work,
1084,1,Project Work - Test new codebase,2024-09-17 09:00:00,2024-09-17 10:32:00,completed,Test new codebase,Zoom,Project Work,
1085,1,Client Meeting - Demo completed features,2024-09-17 11:00:00,2024-09-17 11:38:00,completed,Demo completed features,Zoom,Client Meeting,Jamie Arnold
1086,1,Break - Take a short walk,2024-09-17 12:00:00,2024-09-17 12:28:00,completed,Take a short walk,Home,Break,
1087,1,Admin - Log expenses,2024-09-17 13:00:00,2024-09-17 13:36:00,completed,Log expenses,Office,Admin,
1088,1,Email & Communication - Sort inbox,2024-09-17 14:00:00,2024-09-17 14:28:00,completed,Sort inbox,Office,Email & Communication,
1089,1,Project Work - Test new codebase,2024-09-18 09:00:00,2024-09-18 10:42:00,canceled,Test new codebase,Zoom,Project Work,
1091,1,Client Meeting - Demo completed features,2024-09-18 11:00:00,2024-09-18 11:43:00,completed,Demo completed features,Cafe,Client Meeting,Lisa Hensley
1092,1,Break - Mindfulness time,2024-09-18 12:00:00,2024-09-18 12:28:00,completed,Mindfulness time,Google Meet,Break,
1093,1,Admin - Update invoices,2024-09-18 13:00:00,2024-09-18 13:29:00,completed,Update invoices,Office,Admin,
1094,1,Email & Communication - Follow up on proposals,2024-09-18 14:00:00,2024-09-18 14:28:00,to be rescheduled,Follow up on proposals,Home,Email & Communication,
1080,1,Project Work - Implement module features,2024-09-19 09:00:00,2024-09-19 10:26:00,completed,Implement module features,Office,Project Work,
1096,1,Project Work - Implement module features,2024-09-19 10:00:00,2024-09-19 11:30:00,to be rescheduled,Implement module features,Zoom,Project Work,
1098,1,Break - Lunch break,2024-09-19 12:00:00,2024-09-19 12:17:00,completed,Lunch break,Office,Break,
1099,1,Admin - Update invoices,2024-09-19 13:00:00,2024-09-19 13:26:00,completed,Update invoices,Google Meet,Admin,
1100,1,Project Work - Implement module features,2024-09-20 10:00:00,2024-09-20 11:04:00,completed,Implement module features,Home,Project Work,
1101,1,Client Meeting - Discuss contract terms,2024-09-20 12:00:00,2024-09-20 12:37:00,completed,Discuss contract terms,Zoom,Client Meeting,Michele Williams
1102,1,Break - Mindfulness time,2024-09-20 13:00:00,2024-09-20 13:22:00,completed,Mindfulness time,Zoom,Break,
1103,1,Admin - Submit weekly report,2024-09-20 14:00:00,2024-09-20 14:23:00,completed,Submit weekly report,Cafe,Admin,
1095,1,Email & Communication - Follow up on proposals,2024-09-20 14:00:00,2024-09-20 14:28:00,completed,Follow up on proposals,Home,Email & Communication,
1090,1,Project Work - Test new codebase,2024-09-21 09:00:00,2024-09-21 10:42:00,completed,Test new codebase,Zoom,Project Work,
1104,1,Project Work - Fix reported bugs,2024-09-21 10:00:00,2024-09-21 11:48:00,canceled,Fix reported bugs,Cafe,Project Work,
1106,1,Break - Take a short walk,2024-09-21 12:00:00,2024-09-21 12:23:00,completed,Take a short walk,Cafe,Break,
1107,1,Admin - Update invoices,2024-09-21 13:00:00,2024-09-21 13:27:00,completed,Update invoices,Office,Admin,
1108,1,Email & Communication - Reply to client emails,2024-09-21 14:00:00,2024-09-21 14:25:00,completed,Reply to client emails,Google Meet,Email & Communication,
1109,1,Project Work - Implement module features,2024-09-22 08:00:00,2024-09-22 09:44:00,completed,Implement module features,Zoom,Project Work,
1105,1,Project Work - Fix reported bugs,2024-09-22 10:00:00,2024-09-22 11:48:00,completed,Fix reported bugs,Cafe,Project Work,
1110,1,Client Meeting - Align on next steps,2024-09-22 10:00:00,2024-09-22 10:40:00,completed,Align on next steps,Zoom,Client Meeting,Dylan Miller
1097,1,Project Work - Implement module features,2024-09-22 10:00:00,2024-09-22 11:30:00,completed,Implement module features,Zoom,Project Work,
1111,1,Break - Coffee break,2024-09-22 11:00:00,2024-09-22 11:28:00,completed,Coffee break,Cafe,Break,
1112,1,Admin - Respond to internal emails,2024-09-22 12:00:00,2024-09-22 12:20:00,canceled,Respond to internal emails,Home,Admin,
1114,1,Project Work - Implement module features,2024-09-23 10:00:00,2024-09-23 11:57:00,completed,Implement module features,Office,Project Work,
1115,1,Client Meeting - Align on next steps,2024-09-23 12:00:00,2024-09-23 12:30:00,completed,Align on next steps,Google Meet,Client Meeting,Brian Ramirez
1116,1,Project Work - Write project documentation,2024-09-24 10:00:00,2024-09-24 11:25:00,completed,Write project documentation,Zoom,Project Work,
1117,1,Break - Take a short walk,2024-09-24 12:00:00,2024-09-24 12:29:00,completed,Take a short walk,Home,Break,
1118,1,Admin - Submit weekly report,2024-09-24 13:00:00,2024-09-24 13:34:00,completed,Submit weekly report,Office,Admin,
1119,1,Project Work - Write project documentation,2024-09-25 09:00:00,2024-09-25 10:05:00,completed,Write project documentation,Office,Project Work,
1120,1,Client Meeting - Discuss contract terms,2024-09-25 11:00:00,2024-09-25 11:32:00,to be rescheduled,Discuss contract terms,Zoom,Client Meeting,Holly Wood
1122,1,Admin - Update invoices,2024-09-25 12:00:00,2024-09-25 12:27:00,completed,Update invoices,Cafe,Admin,
1113,1,Admin - Respond to internal emails,2024-09-25 12:00:00,2024-09-25 12:20:00,completed,Respond to internal emails,Home,Admin,
1123,1,Project Work - Write project documentation,2024-09-26 09:00:00,2024-09-26 10:49:00,completed,Write project documentation,Google Meet,Project Work,
1121,1,Client Meeting - Discuss contract terms,2024-09-26 11:00:00,2024-09-26 11:32:00,completed,Discuss contract terms,Zoom,Client Meeting,Holly Wood
1124,1,Break - Mindfulness time,2024-09-26 11:00:00,2024-09-26 11:15:00,completed,Mindfulness time,Home,Break,
1125,1,Email & Communication - Follow up on proposals,2024-09-26 12:00:00,2024-09-26 12:22:00,completed,Follow up on proposals,Cafe,Email & Communication,
1126,1,Project Work - Test new codebase,2024-09-27 08:00:00,2024-09-27 09:36:00,to be rescheduled,Test new codebase,Cafe,Project Work,
1128,1,Client Meeting - Discuss contract terms,2024-09-27 10:00:00,2024-09-27 10:46:00,completed,Discuss contract terms,Home,Client Meeting,Derek Zuniga
1129,1,Admin - Submit weekly report,2024-09-27 11:00:00,2024-09-27 11:31:00,completed,Submit weekly report,Google Meet,Admin,
1130,1,Email & Communication - Schedule meetings,2024-09-27 12:00:00,2024-09-27 12:23:00,completed,Schedule meetings,Home,Email & Communication,
1131,1,Project Work - Implement module features,2024-09-28 09:00:00,2024-09-28 10:37:00,completed,Implement module features,Zoom,Project Work,
1132,1,Client Meeting - Align on next steps,2024-09-28 11:00:00,2024-09-28 11:44:00,completed,Align on next steps,Cafe,Client Meeting,Lisa Jackson
1133,1,Break - Mindfulness time,2024-09-28 12:00:00,2024-09-28 12:27:00,completed,Mindfulness time,Office,Break,
1134,1,Admin - Respond to internal emails,2024-09-28 13:00:00,2024-09-28 13:26:00,completed,Respond to internal emails,Office,Admin,
1135,1,Email & Communication - Sort inbox,2024-09-28 14:00:00,2024-09-28 14:23:00,completed,Sort inbox,Zoom,Email & Communication,
1136,1,Project Work - Implement module features,2024-09-29 08:00:00,2024-09-29 09:31:00,completed,Implement module features,Home,Project Work,
1137,1,Break - Lunch break,2024-09-29 10:00:00,2024-09-29 10:15:00,upcoming,Lunch break,Home,Break,
1138,1,Admin - Respond to internal emails,2024-09-29 11:00:00,2024-09-29 11:29:00,to be rescheduled,Respond to internal emails,Home,Admin,
1140,1,Email & Communication - Schedule meetings,2024-09-29 12:00:00,2024-09-29 12:25:00,completed,Schedule meetings,Office,Email & Communication,
1127,1,Project Work - Test new codebase,2024-09-30 08:00:00,2024-09-30 09:36:00,completed,Test new codebase,Cafe,Project Work,
1141,1,Project Work - Test new codebase,2024-09-30 09:00:00,2024-09-30 10:07:00,to be rescheduled,Test new codebase,Zoom,Project Work,
1143,1,Client Meeting - Demo completed features,2024-09-30 11:00:00,2024-09-30 11:36:00,to be rescheduled,Demo completed features,Cafe,Client Meeting,Carla Gray
1145,1,Break - Take a short walk,2024-09-30 12:00:00,2024-09-30 12:18:00,completed,Take a short walk,Google Meet,Break,
1146,1,Admin - Log expenses,2024-09-30 13:00:00,2024-09-30 13:29:00,completed,Log expenses,Office,Admin,
1147,1,Email & Communication - Sort inbox,2024-09-30 14:00:00,2024-09-30 14:16:00,completed,Sort inbox,Home,Email & Communication,
1148,1,Project Work - Fix reported bugs,2024-10-01 08:00:00,2024-10-01 09:36:00,completed,Fix reported bugs,Home,Project Work,
1149,1,Client Meeting - Align on next steps,2024-10-01 10:00:00,2024-10-01 11:00:00,completed,Align on next steps,Zoom,Client Meeting,Margaret Hawkins DDS
1150,1,Admin - Update invoices,2024-10-01 12:00:00,2024-10-01 12:22:00,completed,Update invoices,Google Meet,Admin,
1151,1,Email & Communication - Sort inbox,2024-10-01 13:00:00,2024-10-01 13:24:00,completed,Sort inbox,Zoom,Email & Communication,
1152,1,Project Work - Implement module features,2024-10-02 10:00:00,2024-10-02 11:38:00,completed,Implement module features,Cafe,Project Work,
1139,1,Admin - Respond to internal emails,2024-10-02 11:00:00,2024-10-02 11:29:00,completed,Respond to internal emails,Home,Admin,
1153,1,Client Meeting - Align on next steps,2024-10-02 12:00:00,2024-10-02 12:59:00,completed,Align on next steps,Office,Client Meeting,Patty Perez
1154,1,Break - Coffee break,2024-10-02 13:00:00,2024-10-02 13:16:00,completed,Coffee break,Google Meet,Break,
1155,1,Admin - Log expenses,2024-10-02 14:00:00,2024-10-02 14:28:00,to be rescheduled,Log expenses,Google Meet,Admin,
1157,1,Email & Communication - Schedule meetings,2024-10-02 15:00:00,2024-10-02 15:15:00,completed,Schedule meetings,Office,Email & Communication,
1158,1,Project Work - Fix reported bugs,2024-10-03 08:00:00,2024-10-03 09:45:00,completed,Fix reported bugs,Zoom,Project Work,
1142,1,Project Work - Test new codebase,2024-10-03 09:00:00,2024-10-03 10:07:00,completed,Test new codebase,Zoom,Project Work,
1144,1,Client Meeting - Demo completed features,2024-10-03 11:00:00,2024-10-03 11:36:00,completed,Demo completed features,Cafe,Client Meeting,Carla Gray
1159,1,Project Work - Implement module features,2024-10-04 10:00:00,2024-10-04 11:12:00,completed,Implement module features,Google Meet,Project Work,
1160,1,Admin - Respond to internal emails,2024-10-04 12:00:00,2024-10-04 12:25:00,to be rescheduled,Respond to internal emails,Home,Admin,
1162,1,Project Work - Fix reported bugs,2024-10-05 10:00:00,2024-10-05 11:17:00,completed,Fix reported bugs,Home,Project Work,
1163,1,Client Meeting - Demo completed features,2024-10-05 12:00:00,2024-10-05 12:31:00,canceled,Demo completed features,Cafe,Client Meeting,Ethan Adams
1165,1,Break - Take a short walk,2024-10-05 13:00:00,2024-10-05 13:15:00,completed,Take a short walk,Cafe,Break,
1166,1,Admin - Submit weekly report,2024-10-05 14:00:00,2024-10-05 14:25:00,completed,Submit weekly report,Office,Admin,
1156,1,Admin - Log expenses,2024-10-05 14:00:00,2024-10-05 14:28:00,completed,Log expenses,Google Meet,Admin,
1167,1,Email & Communication - Schedule meetings,2024-10-05 15:00:00,2024-10-05 15:28:00,completed,Schedule meetings,Zoom,Email & Communication,
1168,1,Project Work - Write project documentation,2024-10-06 09:00:00,2024-10-06 10:21:00,completed,Write project documentation,Google Meet,Project Work,
1169,1,Client Meeting - Align on next steps,2024-10-06 11:00:00,2024-10-06 11:52:00,completed,Align on next steps,Cafe,Client Meeting,Tommy Walter
1170,1,Break - Take a short walk,2024-10-06 12:00:00,2024-10-06 12:17:00,completed,Take a short walk,Zoom,Break,
1164,1,Client Meeting - Demo completed features,2024-10-06 12:00:00,2024-10-06 12:31:00,completed,Demo completed features,Cafe,Client Meeting,Ethan Adams
1161,1,Admin - Respond to internal emails,2024-10-06 12:00:00,2024-10-06 12:25:00,completed,Respond to internal emails,Home,Admin,
1171,1,Email & Communication - Schedule meetings,2024-10-06 13:00:00,2024-10-06 13:15:00,to be rescheduled,Schedule meetings,Home,Email & Communication,
1173,1,Project Work - Fix reported bugs,2024-10-07 10:00:00,2024-10-07 11:48:00,completed,Fix reported bugs,Zoom,Project Work,
1174,1,Client Meeting - Demo completed features,2024-10-07 12:00:00,2024-10-07 12:47:00,completed,Demo completed features,Home,Client Meeting,Matthew Foster
1172,1,Email & Communication - Schedule meetings,2024-10-07 13:00:00,2024-10-07 13:15:00,completed,Schedule meetings,Home,Email & Communication,
1175,1,Admin - Log expenses,2024-10-07 13:00:00,2024-10-07 13:20:00,canceled,Log expenses,Google Meet,Admin,
1177,1,Email & Communication - Reply to client emails,2024-10-07 14:00:00,2024-10-07 14:28:00,completed,Reply to client emails,Home,Email & Communication,
1178,1,Project Work - Test new codebase,2024-10-08 08:00:00,2024-10-08 09:09:00,completed,Test new codebase,Cafe,Project Work,
1179,1,Break - Lunch break,2024-10-08 10:00:00,2024-10-08 10:30:00,completed,Lunch break,Home,Break,
1180,1,Admin - Log expenses,2024-10-08 11:00:00,2024-10-08 11:32:00,completed,Log expenses,Zoom,Admin,
1181,1,Email & Communication - Follow up on proposals,2024-10-08 12:00:00,2024-10-08 12:28:00,completed,Follow up on proposals,Zoom,Email & Communication,
1182,1,Project Work - Fix reported bugs,2024-10-09 09:00:00,2024-10-09 10:53:00,completed,Fix reported bugs,Google Meet,Project Work,
1183,1,Client Meeting - Align on next steps,2024-10-09 11:00:00,2024-10-09 11:45:00,completed,Align on next steps,Home,Client Meeting,Judy Baker
1184,1,Project Work - Fix reported bugs,2024-10-10 08:00:00,2024-10-10 09:14:00,canceled,Fix reported bugs,Zoom,Project Work,
1186,1,Client Meeting - Align on next steps,2024-10-10 10:00:00,2024-10-10 10:59:00,to be rescheduled,Align on next steps,Google Meet,Client Meeting,Justin Baker
1188,1,Break - Mindfulness time,2024-10-10 11:00:00,2024-10-10 11:25:00,completed,Mindfulness time,Zoom,Break,
1189,1,Admin - Log expenses,2024-10-10 12:00:00,2024-10-10 12:34:00,completed,Log expenses,Home,Admin,
1176,1,Admin - Log expenses,2024-10-10 13:00:00,2024-10-10 13:20:00,completed,Log expenses,Google Meet,Admin,
1190,1,Project Work - Test new codebase,2024-10-11 08:00:00,2024-10-11 09:50:00,canceled,Test new codebase,Cafe,Project Work,
1187,1,Client Meeting - Align on next steps,2024-10-11 10:00:00,2024-10-11 10:59:00,completed,Align on next steps,Google Meet,Client Meeting,Justin Baker
1192,1,Client Meeting - Align on next steps,2024-10-11 10:00:00,2024-10-11 10:40:00,canceled,Align on next steps,Office,Client Meeting,Stephanie Ross
1194,1,Break - Take a short walk,2024-10-11 11:00:00,2024-10-11 11:17:00,completed,Take a short walk,Google Meet,Break,
1195,1,Email & Communication - Reply to client emails,2024-10-11 12:00:00,2024-10-11 12:18:00,to be rescheduled,Reply to client emails,Home,Email & Communication,
1197,1,Client Meeting - Demo completed features,2024-10-12 09:00:00,2024-10-12 09:55:00,completed,Demo completed features,Office,Client Meeting,Zachary Hicks
1198,1,Break - Lunch break,2024-10-12 10:00:00,2024-10-12 10:22:00,completed,Lunch break,Google Meet,Break,
1199,1,Admin - Log expenses,2024-10-12 11:00:00,2024-10-12 11:39:00,canceled,Log expenses,Home,Admin,
1201,1,Email & Communication - Reply to client emails,2024-10-12 12:00:00,2024-10-12 12:23:00,completed,Reply to client emails,Home,Email & Communication,
1185,1,Project Work - Fix reported bugs,2024-10-13 08:00:00,2024-10-13 09:14:00,completed,Fix reported bugs,Zoom,Project Work,
1202,1,Project Work - Test new codebase,2024-10-13 09:00:00,2024-10-13 10:10:00,completed,Test new codebase,Cafe,Project Work,
1200,1,Admin - Log expenses,2024-10-13 11:00:00,2024-10-13 11:39:00,completed,Log expenses,Home,Admin,
1203,1,Client Meeting - Demo completed features,2024-10-13 11:00:00,2024-10-13 12:00:00,completed,Demo completed features,Home,Client Meeting,Anthony Rodriguez
1204,1,Admin - Update invoices,2024-10-13 13:00:00,2024-10-13 13:32:00,canceled,Update invoices,Google Meet,Admin,
1206,1,Email & Communication - Follow up on proposals,2024-10-13 14:00:00,2024-10-13 14:24:00,canceled,Follow up on proposals,Zoom,Email & Communication,
1191,1,Project Work - Test new codebase,2024-10-14 08:00:00,2024-10-14 09:50:00,completed,Test new codebase,Cafe,Project Work,
1208,1,Project Work - Write project documentation,2024-10-14 08:00:00,2024-10-14 09:43:00,to be rescheduled,Write project documentation,Cafe,Project Work,
1193,1,Client Meeting - Align on next steps,2024-10-14 10:00:00,2024-10-14 10:40:00,completed,Align on next steps,Office,Client Meeting,Stephanie Ross
1210,1,Break - Lunch break,2024-10-14 10:00:00,2024-10-14 10:26:00,completed,Lunch break,Cafe,Break,
1211,1,Admin - Update invoices,2024-10-14 11:00:00,2024-10-14 11:24:00,completed,Update invoices,Office,Admin,
1196,1,Email & Communication - Reply to client emails,2024-10-14 12:00:00,2024-10-14 12:18:00,completed,Reply to client emails,Home,Email & Communication,
1212,1,Project Work - Test new codebase,2024-10-15 08:00:00,2024-10-15 09:46:00,completed,Test new codebase,Office,Project Work,
